["f47fc18f7284a0b04b4c9cb0d500f13c","2019-12-24 16:00:35"]
["705180f3f5d4f45998b742ee770cc98e","2019-12-24 16:00:44"]
["705180f3f5d4f45998b742ee770cc98e","2019-12-24 16:01:00"]
["705180f3f5d4f45998b742ee770cc98e","2019-12-24 16:01:00"]
["705180f3f5d4f45998b742ee770cc98e","2019-12-24 16:01:14"]
["705180f3f5d4f45998b742ee770cc98e","2019-12-24 16:01:15"]
["705180f3f5d4f45998b742ee770cc98e","2019-12-24 16:02:02"]
["705180f3f5d4f45998b742ee770cc98e","2019-12-24 16:02:03"]
["6e015bb52c1b0b4b0766b26325b04786","2019-12-24 16:25:36"]
["6e015bb52c1b0b4b0766b26325b04786","2019-12-24 16:25:41"]
["6e015bb52c1b0b4b0766b26325b04786","2019-12-24 16:25:42"]
["6e015bb52c1b0b4b0766b26325b04786","2019-12-24 16:26:00"]
["6e015bb52c1b0b4b0766b26325b04786","2019-12-24 16:26:03"]
["6e015bb52c1b0b4b0766b26325b04786","2019-12-24 16:27:42"]
["6e015bb52c1b0b4b0766b26325b04786","2019-12-24 16:27:43"]
["6e015bb52c1b0b4b0766b26325b04786","2019-12-24 16:27:59"]
["6e015bb52c1b0b4b0766b26325b04786","2019-12-24 16:28:00"]
["6e015bb52c1b0b4b0766b26325b04786","2019-12-24 16:30:56"]
["6e015bb52c1b0b4b0766b26325b04786","2019-12-24 16:30:56"]
["51c36ddd885858c64669e4b617c9f3fc","2019-12-24 19:09:48"]
["51c36ddd885858c64669e4b617c9f3fc","2019-12-24 19:10:11"]
["51c36ddd885858c64669e4b617c9f3fc","2019-12-24 19:10:11"]
["0f512bd3db3c8d0a1b4285a163c5328c","2019-12-24 19:17:19"]
["0f512bd3db3c8d0a1b4285a163c5328c","2019-12-24 19:17:24"]
["0f512bd3db3c8d0a1b4285a163c5328c","2019-12-24 19:17:24"]
["0f512bd3db3c8d0a1b4285a163c5328c","2019-12-24 19:20:13"]
["0f512bd3db3c8d0a1b4285a163c5328c","2019-12-24 19:20:15"]
["0f512bd3db3c8d0a1b4285a163c5328c","2019-12-24 19:20:15"]
["1dd916825071d681d9190d6b48293441","2019-12-24 19:20:27"]
["1dd916825071d681d9190d6b48293441","2019-12-24 19:20:30"]
["1dd916825071d681d9190d6b48293441","2019-12-24 19:20:30"]
["bcf57dd55366cf806ad3049e05ad7f2b","2019-12-24 19:20:31"]
["6ed5abf06db977ddce1933c3566ce577","2019-12-24 19:20:34"]
["bcf57dd55366cf806ad3049e05ad7f2b","2019-12-24 19:20:34"]
["bcf57dd55366cf806ad3049e05ad7f2b","2019-12-24 19:20:34"]
["6ed5abf06db977ddce1933c3566ce577","2019-12-24 19:20:38"]
["6ed5abf06db977ddce1933c3566ce577","2019-12-24 19:20:39"]
["bcf57dd55366cf806ad3049e05ad7f2b","2019-12-24 19:21:37"]
["bcf57dd55366cf806ad3049e05ad7f2b","2019-12-24 19:21:38"]
["bcf57dd55366cf806ad3049e05ad7f2b","2019-12-24 19:21:40"]
["6ed5abf06db977ddce1933c3566ce577","2019-12-24 19:21:50"]
["6ed5abf06db977ddce1933c3566ce577","2019-12-24 19:21:50"]
["bcf57dd55366cf806ad3049e05ad7f2b","2019-12-24 19:22:19"]
["bcf57dd55366cf806ad3049e05ad7f2b","2019-12-24 19:22:19"]
["bcf57dd55366cf806ad3049e05ad7f2b","2019-12-24 19:22:20"]
["51c36ddd885858c64669e4b617c9f3fc","2019-12-24 19:22:41"]
["6ed5abf06db977ddce1933c3566ce577","2019-12-24 19:23:37"]
["51c36ddd885858c64669e4b617c9f3fc","2019-12-24 19:23:53"]
["3a380bafad087f5092ff1b446ce79c03","2019-12-24 19:24:14"]
["3a380bafad087f5092ff1b446ce79c03","2019-12-24 19:24:16"]
["3a380bafad087f5092ff1b446ce79c03","2019-12-24 19:24:16"]
["6ed5abf06db977ddce1933c3566ce577","2019-12-24 19:24:17"]
["51c36ddd885858c64669e4b617c9f3fc","2019-12-24 19:24:19"]
["6ed5abf06db977ddce1933c3566ce577","2019-12-24 19:24:27"]
["6ed5abf06db977ddce1933c3566ce577","2019-12-24 19:33:13"]
["6ed5abf06db977ddce1933c3566ce577","2019-12-24 19:33:14"]
["7bcf6b1de76261fc95f2f5cecf4a87c4","2019-12-24 19:33:37"]
["7bcf6b1de76261fc95f2f5cecf4a87c4","2019-12-24 19:33:39"]
["7bcf6b1de76261fc95f2f5cecf4a87c4","2019-12-24 19:33:39"]
["7bcf6b1de76261fc95f2f5cecf4a87c4","2019-12-24 19:34:14"]
["7bcf6b1de76261fc95f2f5cecf4a87c4","2019-12-24 19:34:16"]
["7bcf6b1de76261fc95f2f5cecf4a87c4","2019-12-24 19:34:49"]
["7bcf6b1de76261fc95f2f5cecf4a87c4","2019-12-24 19:35:07"]
["7bcf6b1de76261fc95f2f5cecf4a87c4","2019-12-24 19:35:07"]
["7bcf6b1de76261fc95f2f5cecf4a87c4","2019-12-24 19:35:14"]
["7bcf6b1de76261fc95f2f5cecf4a87c4","2019-12-24 19:35:15"]
["7bcf6b1de76261fc95f2f5cecf4a87c4","2019-12-24 19:35:19"]
["7bcf6b1de76261fc95f2f5cecf4a87c4","2019-12-24 19:35:20"]
["7bcf6b1de76261fc95f2f5cecf4a87c4","2019-12-24 19:35:27"]
["7bcf6b1de76261fc95f2f5cecf4a87c4","2019-12-24 19:35:37"]
["7bcf6b1de76261fc95f2f5cecf4a87c4","2019-12-24 19:35:39"]
["7bcf6b1de76261fc95f2f5cecf4a87c4","2019-12-24 19:35:43"]
["7bcf6b1de76261fc95f2f5cecf4a87c4","2019-12-24 19:35:49"]
["7bcf6b1de76261fc95f2f5cecf4a87c4","2019-12-24 19:35:49"]
["f30530b520e70d45a9f7d451d5571afc","2019-12-24 19:42:45"]
["f30530b520e70d45a9f7d451d5571afc","2019-12-24 19:42:48"]
["f30530b520e70d45a9f7d451d5571afc","2019-12-24 19:42:49"]
["38f71ef9483939808b52f280e153b7b9","2019-12-24 19:47:30"]
["38f71ef9483939808b52f280e153b7b9","2019-12-24 19:47:33"]
["38f71ef9483939808b52f280e153b7b9","2019-12-24 19:47:34"]
["38f71ef9483939808b52f280e153b7b9","2019-12-24 19:49:32"]
["38f71ef9483939808b52f280e153b7b9","2019-12-24 19:49:32"]
["a80c1e654f6c3377d2644018ac0a87d9","2019-12-24 19:49:36"]
["a80c1e654f6c3377d2644018ac0a87d9","2019-12-24 19:49:37"]
["a80c1e654f6c3377d2644018ac0a87d9","2019-12-24 19:49:37"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 19:50:07"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 19:50:09"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 19:50:09"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 19:50:27"]
["38f71ef9483939808b52f280e153b7b9","2019-12-24 19:50:32"]
["38f71ef9483939808b52f280e153b7b9","2019-12-24 19:50:32"]
["38f71ef9483939808b52f280e153b7b9","2019-12-24 19:50:32"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 19:50:54"]
